filme,decada,score,nacionalidade,genero
Enola Holmes,2020,3,USA,Action
"New Mutants, The",2020,3,USA,Action
"King of Staten Island, The",2020,3,USA,Comedy
Unhinged,2020,3,USA,Action
Eurovision Song Contest: The Story of Fire Saga,2020,3,USA,Comedy
"Trial of the Chicago 7, The",2020,1,USA,Drama
Bad Hair,2020,3,USA,Comedy
Scare Me,2020,1,USA,Comedy
Over the Moon,2020,3,USA,Animation
Freaky,2020,3,USA,Comedy
Jiu Jitsu,2020,1,USA,Action
"Witches, The",1990,3,USA,Adventure
Godmothered,2020,3,USA,Comedy
Mariah Carey&#39;s Magical Christmas Special,2020,3,USA,Adventure
Fantasy Island,2020,3,USA,Fantasy
Relic,2020,3,USA,Drama
"Prom, The",2020,3,USA,Comedy
Happiest Season,2020,3,USA,Comedy
Gretel &amp; Hansel,2020,3,USA,Fantasy
"Croods: A New Age, The",2020,3,USA,Animation
"Midnight Sky, The",2020,3,USA,Adventure
Wonder Woman 1984,2020,3,USA,Action
Borat Subsequent Moviefilm,2020,3,USA,Comedy
Superintelligence,2020,3,USA,Action
News of the World,2020,3,USA,Action
Run Hide Fight,2020,3,USA,Action
Pieces of a Woman,2020,3,USA,Drama
I&#39;m Your Woman,2020,3,USA,Crime
Unpregnant,2020,3,USA,Comedy
Mank,2020,1,USA,Biography
Breach,2020,1,USA,Action
Run,2020,3,USA,Drama
Ma Rainey&#39;s Black Bottom,2020,3,USA,Drama
Nomadland,2020,3,USA,Drama
Promising Young Woman,2020,3,USA,Crime
Ammonite,2020,3,USA,Drama
I Care a Lot,2020,3,USA,Comedy
"Lost Husband, The",2020,3,USA,Drama
Infamous,2020,3,USA,Crime
Monster Hunter,2020,3,USA,Action
Penguin Bloom,2020,3,USA,Biography
Deep Blue Sea 3,2020,1,USA,Action
"Courier, The",2020,3,USA,Drama
Love and Monsters,2020,2,USA,Action
"Retreat, The",2020,0,USA,Horror
Shadow in the Cloud,2020,0,USA,Action
Holidate,2020,3,USA,Comedy
Friend of the World,2020,3,USA,Comedy
one night in san diego,2020,2,USA,Comedy
One Night in Miami...,2020,2,USA,Drama
Normal People,2020,3,USA,Drama
A Quiet Place Part II,2020,3,USA,Drama
To All the Boys: P.S. I Still Love You,2020,3,USA,Comedy
Mainstream,2020,3,USA,Comedy
Motherland: Fort Salem,2020,3,USA,Drama
An American Pickle,2020,1,USA,Comedy
Geenland,2020,3,USA,Action
"Craft: Legacy, The",2020,3,USA,Drama
"world to come, The",2020,3,USA,Drama
I&#39;m Thinking of Ending Things,2020,0,USA,Drama
Dolittle,2020,3,USA,Adventure
Save Yourselves!,2020,3,USA,Adventure
Antebellum,2020,3,USA,Drama
Golden Arm,2020,3,USA,Comedy
Ava,2020,2,USA,Action
We Can Be Heroes,2020,3,USA,Action
"Happy Halloween, Scooby-Doo!",2020,3,USA,Animation
"Banker, The",2020,1,USA,Biography
Boss Level,2020,2,USA,Action
Spree,2020,3,USA,Comedy
Kajillionaire,2020,3,USA,Comedy
Four Good Days,2020,3,USA,Drama
Scare Package,2020,3,USA,Comedy
Zola,2020,3,USA,Comedy
Miss Juneteenth,2020,3,USA,Drama
Murder Bury Win,2020,0,USA,Comedy
"Rental, The",2020,3,USA,Drama
Shiva Baby,2020,3,USA,Comedy
Summertime,1950,3,USA,Comedy
Little Fires Everywhere,2020,2,USA,Drama
Dating Amber,2020,3,USA,Comedy
"Tomorrow War, The",2020,2,USA,Action
Finding &#39;Ohana,2020,3,USA,Action
"Dry, The",2020,3,USA,Crime
Raya and the Last Dragon,2020,3,USA,Animation
Judas and The Black Messiah,2020,2,USA,Biography
Coming 2 America,2020,3,USA,Comedy
Moxie,2020,3,USA,Comedy
Cherry,2020,0,USA,Biography
Zack Snyder&#39;s Justice League,2020,3,USA,Action
"United States vs. Billie Holiday, The",2020,3,USA,Biography
Willy&#39;s Wonderland,2020,3,USA,Action
"Mauritanian, The",2020,3,USA,Biography
Nobody,2020,1,USA,Action
Thunder Force,2020,3,USA,Action
Stowaway,2020,3,USA,Adventure
Mortal Kombat,1990,1,USA,Action
Barb and Star Go to Vista Del Mar,2020,3,USA,Comedy
"Mitchells vs the Machines, The",2020,3,USA,Animation
Us Again,2020,0,USA,Animation
Oxygen,2020,3,USA,Drama
Without Remorse,2020,1,USA,Action
Black Widow,1980,3,USA,Crime
Inside,2020,0,USA,Documentary
Cruella,2020,3,USA,Adventure
"Kissing Booth 3, The",2020,3,USA,Comedy
Malignant,2020,3,USA,Crime
"Eyes of Tammy Faye, The",2020,3,USA,Biography
Spiral: From the Book of Saw,2020,3,USA,Horror
Afterlife of the Party,2020,3,USA,Comedy
Escape Room: Tournament of Champions,2020,3,USA,Action
