movie,decade,rating,country,genre
Bit,2010,3,USA,"Comedy, Horror"
Bombshells and Dollies,2010,3,USA,"Documentary, Biography, History"
"Dead Don&#39;t Die, The",2010,3,USA,"Comedy, Fantasy, Horror"
"Report, The",2010,0,USA,"Biography, Crime, Drama"
Rocketman,2010,3,USA,"Biography, Drama, Music"
Under The Silver Lake,2010,0,USA,"Crime, Drama, Mystery"
"Vast of Night, The",2010,3,USA,"Drama, Mystery, Sci-Fi"
Long Shot,2010,3,USA,"Comedy, Romance"
"Last Full Measure, The",2010,1,USA,"Drama, War"
Bad Education,2010,3,USA,"Biography, Comedy, Crime"
Before You Know It,2010,3,USA,"Comedy, Drama"
"Beach Bum, The",2010,1,USA,"Comedy, Drama"
Saint Frances,2010,3,USA,"Comedy, Drama"
Mercy Black,2010,3,USA,"Horror, Mystery, Thriller"
"Addams Family, The",1990,3,USA,"Comedy, Fantasy"
K-12,2010,3,USA,"Fantasy, Horror, Musical"
Come to Daddy,2010,1,USA,"Comedy, Mystery, Thriller"
"Yes, God, Yes",2010,3,USA,"Comedy, Drama"
"Kitchen, The",2010,3,USA,"Action, Crime, Drama"
Wonder Park,2010,3,USA,"Animation, Adventure, Comedy"
A New Christmas,2010,1,USA,Drama
Richard Jewell,2010,3,USA,"Biography, Crime, Drama"
47 Meters Down: Uncaged,2010,3,USA,"Adventure, Drama, Horror"
Sound of Metal,2010,1,USA,"Drama, Music"
"Assistant, The",2010,3,USA,Drama
"Peanut Butter Falcon, The",2010,1,USA,"Adventure, Comedy, Drama"
"Personal History of David Copperfield, The",2010,3,USA,"Comedy, Drama"
Good Kisser,2010,3,USA,"Comedy, Drama, Romance"
"Final Level: Escaping Rancala, The",2010,3,USA,"Action, Adventure, Fantasy"
In the Shadow of the Moon,2010,1,USA,"Action, Crime, Mystery"
After the Wedding,2010,3,USA,Drama
Men in Black: International,2010,3,USA,"Action, Adventure, Comedy"
Lucky Grandma,2010,3,USA,"Comedy, Crime, Drama"
Pokemon: Mewtwo Strikes Back - Evolution,2010,3,USA,"Animation, Action, Family"
A Call to Spy,2010,3,USA,"Biography, Crime, Drama"
Stray,2010,3,USA,"Action, Crime, Fantasy"
"Highwaymen, The",2010,1,USA,"Biography, Crime, Drama"
"Souvenir, The",2010,3,USA,"Drama, Romance"
Angel Has Fallen,2010,1,USA,"Action, Thriller"
White Snake,2010,3,USA,"Animation, Action, Adventure"
"Cat and the Moon, The",2010,1,USA,"Drama, Music"
Bombshell,2010,3,USA,"Biography, Drama"
Sister Aimee,2010,3,USA,Comedy
Robowoman,2010,3,USA,"Action, Sci-Fi, Thriller"
"Best of Enemies, The",2010,3,USA,"Biography, Drama, History"
Once Were Brothers: Robbie Robertson and the Band,2010,0,USA,"Documentary, Biography, History"
Reign of the Supermen,2010,1,USA,"Animation, Action, Adventure"
Let It Snow,2010,1,USA,"Comedy, Romance"
"Good Liar, The",2010,3,USA,"Crime, Drama, Mystery"
"Haunting of Sharon Tate, The",2010,3,USA,"Drama, Horror, Thriller"
Invader Zim: Enter the Florpus,2010,0,USA,"Animation, Action, Adventure"
6 Underground,2010,3,USA,"Action, Thriller"
"Legend of 5 Mile Cave, The",2010,1,USA,Western
Noelle,2010,3,USA,"Comedy, Family, Fantasy"
"Mortuary Collection, The",2010,1,USA,"Fantasy, Horror"
Glass,2010,2,USA,"Drama, Horror, Sci-Fi"
Wayne,2010,3,USA,"Action, Comedy"
Haunt,2010,3,USA,"Horror, Mystery, Romance"
Escape Room,2010,3,USA,"Action, Adventure, Horror"
A Nasty Piece of Work,2010,3,USA,"Drama, Fantasy, Horror"
Un momento en el tiempo: olas,2010,3,USA,"Drama, Romance, Sport"
Uglydolls,2010,3,USA,"Animation, Adventure, Comedy"
Soul,2020,3,USA,"Animation, Adventure, Comedy"
Like a Boss,2020,3,USA,Comedy
Honey Boy,2020,0,USA,Drama
"Rhythm Section, The",2020,2,USA,"Action, Drama, Mystery"
"Turning, The",2020,3,USA,"Drama, Horror, Mystery"
Birds of Prey,2020,3,USA,"Action, Comedy, Crime"
Horse Girl,2020,3,USA,"Drama, Mystery, Thriller"
Sonic the Hedgehog,2020,3,USA,"Action, Adventure, Comedy"
Minari,2020,3,USA,Drama
Onward,2020,3,USA,"Animation, Adventure, Comedy"
All the Bright Places,2020,3,USA,"Drama, Romance"
Lost Girls,2020,3,USA,"Crime, Drama, Mystery"
Zombies 2,2020,3,USA,"Comedy, Family, Fantasy"
